aX,aY,aZ,gX,gY,gZ
0.66,0.46,-0.55,-4.272,10.864,-3.723
0.654,0.474,-0.555,-3.052,13.062,-3.723
0.66,0.471,-0.568,-0.977,16.846,-4.7
0.681,0.431,-0.596,-6.287,15.503,-5.371
0.677,0.414,-0.616,-10.62,11.902,-4.578
0.667,0.418,-0.646,-12.634,9.277,-4.211
0.646,0.421,-0.666,-9.888,8.24,-4.211
0.635,0.426,-0.667,-5.798,8.667,-5.066
0.643,0.425,-0.677,-1.221,10.498,-5.859
0.653,0.411,-0.671,2.075,10.071,-6.165
0.646,0.412,-0.676,0.366,6.958,-7.385
0.644,0.393,-0.671,1.343,5.249,-8.24
0.652,0.375,-0.654,1.526,4.333,-6.592
0.652,0.373,-0.661,-0.061,4.028,-4.761
0.659,0.378,-0.658,0.854,3.784,-3.662
0.661,0.375,-0.646,1.709,1.77,-3.418
0.661,0.37,-0.633,1.343,-0.244,-2.686
0.658,0.384,-0.631,-0.671,-1.404,-1.343
0.653,0.407,-0.647,-1.038,-1.282,-0.305
0.654,0.403,-0.644,3.052,-2.258,-1.892
0.65,0.399,-0.633,2.808,-3.845,-2.502
0.644,0.411,-0.63,2.38,-3.601,-2.563
0.643,0.423,-0.629,4.944,-1.648,-2.625
0.655,0.415,-0.628,8.789,0.488,-4.395
0.672,0.392,-0.608,10.071,1.16,-4.822
0.677,0.387,-0.601,6.653,-0.122,-4.517
0.677,0.383,-0.603,4.15,-0.916,-3.967
0.677,0.395,-0.608,1.648,-2.075,-2.014
0.672,0.4,-0.61,0.854,-3.174,-1.831
0.673,0.402,-0.606,1.16,-3.662,-1.465
0.679,0.396,-0.599,-0.305,-4.517,-0.977
0.679,0.394,-0.59,-3.418,-6.592,0
0.68,0.401,-0.589,-4.7,-5.92,0.732
0.684,0.398,-0.59,-4.517,-4.944,0.977
0.682,0.41,-0.589,-2.197,-2.197,1.526
0.689,0.404,-0.588,-1.343,-1.221,1.709
0.684,0.406,-0.586,-1.587,-0.977,2.258
0.686,0.408,-0.6,-2.502,-0.854,2.441
0.677,0.424,-0.613,-2.747,-1.099,2.014
0.678,0.417,-0.607,1.16,-0.427,-0.671
0.686,0.397,-0.588,1.16,-0.183,-1.77
0.686,0.396,-0.59,-1.038,-0.305,-1.709
0.68,0.401,-0.603,-2.136,0,-1.526
0.68,0.401,-0.604,-0.305,0.854,-1.465
0.683,0.387,-0.603,0.854,1.282,-2.197
0.685,0.39,-0.602,-0.061,0.732,-1.77
0.675,0.398,-0.606,-1.16,0.488,-1.343
0.68,0.389,-0.614,-0.793,0.305,-0.854
0.668,0.402,-0.606,-0.732,-0.366,-0.488
0.678,0.397,-0.62,0,-0.793,-2.197
0.691,0.381,-0.608,1.587,-1.404,-1.526
0.672,0.391,-0.589,-1.465,-4.211,-0.549
0.685,0.394,-0.595,-0.366,-2.686,-0.977
0.688,0.393,-0.586,0.61,-2.625,0.183
0.674,0.408,-0.579,-0.183,-3.235,0.488
0.678,0.422,-0.576,2.502,-0.916,-1.16
0.705,0.404,-0.569,1.648,-0.61,-1.343
0.703,0.405,-0.581,-1.343,-1.343,-1.16
0.692,0.413,-0.581,-1.465,-1.648,-0.732
0.697,0.411,-0.578,0.549,-0.244,-1.648
0.702,0.401,-0.577,0.366,0.244,-1.831
0.692,0.403,-0.581,-1.465,0.122,-1.465
0.688,0.401,-0.589,-1.343,0.977,-1.343
0.678,0.412,-0.598,-0.793,1.587,-0.366
0.68,0.413,-0.616,0.977,2.563,-1.343
0.686,0.419,-0.611,2.747,2.136,-2.319
0.682,0.4,-0.605,2.502,0.916,-3.113
0.687,0.39,-0.594,2.258,0.366,-3.174
0.701,0.365,-0.583,1.465,-0.061,-3.296
0.705,0.358,-0.572,-1.221,-1.221,-1.77
0.698,0.373,-0.58,-3.784,-1.831,0.061
0.697,0.39,-0.585,-2.38,-1.099,0.732
0.702,0.387,-0.583,-0.305,-0.793,-0.061
0.703,0.38,-0.572,0.793,-0.671,0
0.7,0.381,-0.566,-1.16,-0.549,0.427
0.697,0.393,-0.578,-3.357,-0.427,1.526
0.687,0.411,-0.592,-3.418,0.122,1.77
0.68,0.419,-0.599,-0.549,0.977,0.244
0.69,0.406,-0.594,2.075,1.953,-1.343
0.696,0.388,-0.593,1.526,1.16,-1.282
0.695,0.384,-0.598,-0.732,-0.549,-0.793
0.685,0.396,-0.595,-0.183,-0.488,-0.854
0.691,0.392,-0.596,0.549,0.244,-1.282
0.695,0.388,-0.593,0.854,-0.366,-1.465
0.694,0.384,-0.592,0.61,-0.488,-1.16
0.682,0.396,-0.596,0.366,-0.671,-0.61
0.718,0.398,-0.598,2.38,-0.61,-1.343
0.699,0.391,-0.588,2.93,-0.854,-1.892
0.706,0.387,-0.588,2.136,-1.404,-1.831
-0.986,0.407,3.125,-34.668,53.711,21.484
-1.878,0.535,4,-48.706,137.573,17.395
-2.169,0.408,4,-43.396,212.402,1.404
-2.212,0.111,4,-34.424,315.613,-18.616
-2.151,-0.271,4,-82.703,542.236,-18.433
-2.075,0.003,2.812,-170.227,656.921,14.587
