aX,aY,aZ,gX,gY,gZ
0.066,0.017,1.051,-1.16,-0.732,-15.442
0.022,-0.006,1.051,1.404,0.61,-2.502
0.05,-0.048,1.022,3.479,0.671,-3.54
0.052,-0.061,1.015,3.052,0.732,-2.686
0.047,-0.063,1.026,1.465,0.671,-2.258
0.069,-0.06,1.024,-4.333,3.113,0.061
0.077,-0.045,1.013,-3.967,4.7,1.77
0.063,-0.008,1,0,4.578,0
0.053,-0.018,1.008,2.808,3.418,-3.113
0.05,-0.036,0.995,0,2.563,-2.319
0.069,-0.046,0.992,1.343,2.197,-3.052
0.055,-0.045,0.99,0.427,1.587,-1.099
0.057,-0.011,0.999,2.014,0.854,0.244
0.057,-0.007,0.999,3.601,0.61,-0.549
0.06,-0.014,0.979,8.911,0.122,-3.418
0.054,-0.009,0.974,10.132,0.549,-4.883
0.055,-0.022,0.955,-0.366,2.319,-3.723
0.054,-0.026,0.95,-4.333,1.892,-2.563
0.052,-0.028,0.964,-2.991,1.221,-2.869
0.051,-0.042,0.993,0.244,-0.549,-4.456
0.064,-0.05,1,0.183,-0.366,-3.601
0.057,-0.041,1.003,2.197,0.183,-3.296
0.06,-0.041,1.016,2.563,0.061,-3.784
0.055,-0.046,1.015,0.122,-0.183,-3.54
0.048,-0.061,1.013,0.305,-0.244,-3.296
0.058,-0.061,1.011,1.77,0.244,-2.625
0.055,-0.058,1.008,1.038,1.831,-1.831
0.053,-0.042,1.003,-0.122,2.441,-0.671
0.053,-0.039,1.003,1.282,1.465,-1.648
0.057,-0.047,1.002,3.54,0.916,-2.869
0.058,-0.05,1.001,4.395,1.282,-2.686
0.049,-0.04,0.987,3.174,2.075,-1.343
0.049,-0.033,0.985,1.831,0.977,-1.404
0.049,-0.045,0.991,-0.122,-0.061,-2.136
0.051,-0.055,0.992,-2.747,-0.488,-1.587
0.056,-0.058,0.988,-2.075,-0.793,-1.282
0.053,-0.052,0.995,1.465,-2.136,-1.648
0.054,-0.054,1,1.77,-1.953,-1.77
0.052,-0.055,1.006,-1.16,-1.587,-1.038
0.056,-0.067,0.995,-1.648,-0.854,-0.854
0.047,-0.057,1,2.075,-0.916,-1.465
0.058,-0.059,0.999,2.258,-0.122,-1.526
0.053,-0.065,0.996,-1.892,1.526,0.61
0.048,-0.073,1.001,-4.15,1.221,2.686
0.047,-0.074,1.014,-0.732,0.488,3.296
0.054,-0.072,1.029,2.075,1.709,3.784
0.049,-0.069,1.032,1.892,2.686,4.333
0.11,-0.067,1.003,2.563,5.554,3.967
0.055,-0.048,0.99,5.493,5.798,4.822
0.059,-0.023,0.981,4.761,4.15,4.272
0.061,-0.02,0.982,3.296,3.235,3.418
0.075,-0.023,0.982,1.038,2.136,1.709
0.07,-0.022,0.981,-0.122,1.587,0.854
0.065,-0.038,0.985,-1.099,0.427,-0.427
0.067,-0.041,0.989,-1.587,0.366,-0.61
0.072,-0.045,0.999,-1.282,0.427,-0.183
0.07,-0.03,0.994,0.916,1.587,0
0.06,-0.024,0.978,1.953,1.709,-1.282
0.054,-0.03,0.968,0.244,1.221,-1.77
0.05,-0.034,0.974,-0.549,-1.16,-2.319
0.058,-0.049,0.993,-2.197,-1.831,-2.38
0.066,-0.042,1.005,-2.686,-1.709,-1.526
0.069,-0.039,1.009,-0.488,-0.549,-1.892
0.062,-0.031,1.003,1.587,0.305,-2.38
0.052,-0.035,1,0.244,0.244,-2.808
0.052,-0.039,1,-1.282,-0.305,-2.686
0.052,-0.048,1.001,-2.93,-0.549,-2.38
0.054,-0.048,1.004,-2.014,-1.038,-2.686
0.054,-0.047,1.02,0.671,-1.587,-3.174
0.069,-0.052,1.016,0.488,-0.305,-2.563
0.057,-0.05,1.001,1.038,1.831,-1.587
0.059,-0.045,0.995,1.282,1.465,-1.221
0.057,-0.043,0.995,1.16,0.732,-1.587
0.053,-0.042,1,-0.61,0.305,-1.465
0.057,-0.048,1.001,-2.197,-0.061,-1.282
0.068,-0.044,0.999,-0.427,0.366,-1.77
2.292,0.296,0.281,42.603,2.38,-11.108
2.554,0.289,0.322,17.578,-23.865,-29.846
2.734,-0.043,0.569,-11.108,-42.419,-52.185
2.418,-0.303,0.806,3.357,-24.902,-39.551
1.54,-0.35,0.776,104.675,10.803,-30.151
1.014,-0.31,0.686,255.798,35.156,-39.978
0.024,-0.089,0.351,313.843,34.546,-40.039
-1.122,0.032,0.081,390.869,-28.198,-64.819
-1.899,-0.094,0.226,513.184,-113.586,-170.776
-2.37,-0.551,0.558,573.181,-135.803,-258.118
-2.435,-1.213,1.021,411.987,-77.393,-222.595
-1.716,-1.725,1.156,69.58,22.644,-111.694
-1.153,-2.147,0.449,-127.808,90.576,-7.385
-1.03,-2.157,-0.191,-32.959,80.383,18.311
-0.73,-1.335,-0.104,92.224,14.771,1.038
-0.292,-0.67,0.325,73.486,-33.203,13.855
-0.005,-0.598,0.638,-19.104,-25.879,15.991
0.019,-0.803,0.653,-59.57,1.404,4.761
-0.057,-0.942,0.567,-33.997,18.555,-5.005
-0.075,-0.927,0.422,10.315,21.24,-7.69
-0.136,-0.902,0.364,25.269,15.015,-6.531
-0.152,-0.887,0.286,18.616,12.085,-2.991
-0.137,-0.864,0.261,-3.113,11.597,-2.625
-0.122,-0.876,0.272,-26.306,7.019,-0.61
-0.089,-0.859,0.346,-32.593,-0.671,-1.404
-0.031,-0.853,0.396,-22.827,-7.019,-5.676
0.002,-0.769,0.504,-18.677,-9.888,-6.897
0.014,-0.77,0.55,-36.499,-8.118,-5.737
0.04,-0.795,0.547,-43.701,-8.24,-4.395
0.025,-0.818,0.575,-40.039,-9.888,-6.348
0.055,-0.846,0.621,-27.954,-8.24,-13.306
0.033,-0.903,0.621,-16.418,-3.784,-15.625
0.007,-0.957,0.569,-11.536,4.456,-13.977
-0.034,-0.989,0.478,-13.245,11.536,-7.935
-0.07,-0.967,0.401,-11.841,13.123,-3.662
-0.07,-0.934,0.358,-9.155,9.277,-3.967
-0.078,-0.923,0.364,-5.127,-1.038,-3.906
-0.057,-0.895,0.418,-2.686,-7.935,-2.991
-0.044,-0.874,0.473,-2.319,-8.85,-3.296
-0.034,-0.855,0.494,-5.676,-7.019,-2.441
-0.023,-0.849,0.49,-9.399,-4.883,-3.052
-0.037,-0.856,0.497,-10.925,-6.653,-3.479
-0.025,-0.861,0.534,-5.92,-10.254,-5.066
-0.019,-0.893,0.565,1.343,-11.23,-7.996
-0.017,-0.912,0.572,2.075,-7.507,-6.836
-0.03,-0.915,0.568,-0.366,-2.258,-4.089
-0.043,-0.923,0.549,-2.197,2.075,-2.014
-0.052,-0.906,0.52,0.977,4.517,-1.099
-0.058,-0.879,0.51,5.737,2.563,-1.831
-0.065,-0.856,0.5,4.333,1.587,-1.77
-0.055,-0.842,0.509,0,0.305,-1.282
-0.049,-0.848,0.509,-2.93,-0.549,-2.258
-0.049,-0.844,0.507,-1.77,0.549,-2.869
-0.033,-0.833,0.508,-1.892,1.831,-3.723
-0.04,-0.83,0.505,-4.761,1.343,-3.418
-0.049,-0.852,0.514,-7.874,0.977,-4.089
-0.058,-0.866,0.511,-7.69,1.221,-4.761
-0.046,-0.871,0.515,-3.235,1.038,-5.188
-0.05,-0.869,0.509,0.366,1.221,-6.042
-0.056,-0.864,0.532,1.953,1.282,-5.249
-0.053,-0.865,0.51,-5.432,4.639,-4.089
-0.055,-0.878,0.502,-9.277,6.226,-2.808
-0.072,-0.868,0.504,-6.226,2.93,-2.991
-0.063,-0.869,0.527,-2.686,2.686,-5.066
-0.056,-0.872,0.552,-2.38,1.404,-4.272
-0.058,-0.889,0.539,-5.615,3.296,-4.089
-0.067,-0.912,0.526,-3.723,5.371,-3.601
-0.075,-0.922,0.526,0.732,4.15,-3.784
-0.068,-0.907,0.53,3.418,2.869,-2.93
-0.064,-0.881,0.531,3.845,1.77,-1.343
-0.065,-0.869,0.531,3.052,1.831,-0.977
-0.063,-0.865,0.529,0,1.831,-1.221
-0.064,-0.892,0.531,-2.136,2.014,-2.014
-0.068,-0.901,0.529,-2.075,2.014,-0.732
-0.061,-0.881,0.539,0.549,0.977,0.122
-0.052,-0.869,0.542,-0.61,1.709,0.183
